step,R0.7,R0.6
1008.0,0.74,0.71
1009.0,0.73,0.72
1010.0,0.74,0.71
1011.0,0.73,0.72
1012.0,0.73,0.71
1013.0,0.73,0.72
1014.0,0.73,0.71
1015.0,0.73,0.73
1016.0,0.73,0.71
1017.0,0.74,0.72
1018.0,0.74,0.72
1019.0,0.73,0.73
1020.0,0.74,0.71
1021.0,0.74,0.73
1022.0,0.74,0.72
1023.0,0.73,0.73
1024.0,0.74,0.72
1025.0,0.73,0.72
1026.0,0.74,0.71
1027.0,0.73,0.73
1028.0,0.74,0.71
1029.0,0.73,0.72
1030.0,0.73,0.71
1031.0,0.74,0.73
1032.0,0.74,0.72
1033.0,0.74,0.72
1034.0,0.74,0.72
1035.0,0.74,0.72
1036.0,0.74,0.71
1037.0,0.73,0.73
1038.0,0.74,0.71
1039.0,0.74,0.73
1040.0,0.74,0.72
1041.0,0.74,0.73
1042.0,0.73,0.72
1043.0,0.74,0.72
1044.0,0.73,0.71
1045.0,0.74,0.73
1046.0,0.73,0.71
1047.0,0.74,0.72
1048.0,0.74,0.71
1049.0,0.73,0.72
1050.0,0.74,0.72
1051.0,0.73,0.72
1052.0,0.74,0.72
1053.0,0.74,0.72
1054.0,0.73,0.71
1055.0,0.74,0.72
1056.0,0.73,0.72
1057.0,0.73,0.72
1058.0,0.73,0.72
1059.0,0.74,0.73
1060.0,0.73,0.72
1061.0,0.73,0.73
1062.0,0.73,0.72
1063.0,0.73,0.72
1064.0,0.73,0.72
1065.0,0.74,0.72
1066.0,0.74,0.72
1067.0,0.74,0.72
1068.0,0.74,0.71
1069.0,0.73,0.73
1070.0,0.74,0.72
1071.0,0.73,0.73
1072.0,0.73,0.72
1073.0,0.74,0.72
1074.0,0.74,0.71
1075.0,0.73,0.72
1076.0,0.73,0.71
1077.0,0.74,0.73
1078.0,0.74,0.72
1079.0,0.73,0.72
1080.0,0.73,0.71
1081.0,0.74,0.72
1082.0,0.74,0.72
1083.0,0.73,0.73
1084.0,0.74,0.71
1085.0,0.73,0.73
1086.0,0.73,0.72
1087.0,0.73,0.73
1088.0,0.74,0.72
1089.0,0.74,0.73
1090.0,0.73,0.72
1091.0,0.73,0.72
1092.0,0.73,0.72
1093.0,0.73,0.72
1094.0,0.74,0.71
1095.0,0.73,0.73
1096.0,0.73,0.72
1097.0,0.73,0.72
1098.0,0.73,0.72
1099.0,0.73,0.73
1100.0,0.74,0.72
1101.0,0.73,0.72
1102.0,0.73,0.72
1103.0,0.74,0.73
1104.0,0.73,0.72
1105.0,0.74,0.73
1106.0,0.74,0.71
1107.0,0.74,0.72
1108.0,0.74,0.72
1109.0,0.73,0.72
1110.0,0.74,0.72
1111.0,0.74,0.72
1112.0,0.73,0.72
1113.0,0.73,0.73
1114.0,0.74,0.71
1115.0,0.73,0.73
1116.0,0.74,0.71
1117.0,0.74,0.73
1118.0,0.74,0.71
1119.0,0.74,0.73
1120.0,0.73,0.72
1121.0,0.74,0.73
1122.0,0.73,0.72
1123.0,0.74,0.73
1124.0,0.74,0.72
1125.0,0.74,0.72
1126.0,0.73,0.71
1127.0,0.73,0.72
1128.0,0.73,0.72
1129.0,0.73,0.72
1130.0,0.73,0.72
1131.0,0.73,0.73
1132.0,0.74,0.71
1133.0,0.74,0.73
1134.0,0.73,0.71
1135.0,0.73,0.72
1136.0,0.74,0.71
1137.0,0.74,0.72
1138.0,0.74,0.71
1139.0,0.74,0.73
1140.0,0.74,0.71
1141.0,0.73,0.72
1142.0,0.74,0.72
1143.0,0.73,0.72
1144.0,0.73,0.71
1145.0,0.73,0.73
1146.0,0.73,0.71
1147.0,0.74,0.73
